Box no.	Date of Collection	Nest_ID	No. of pieces	No. of chambers	No. of chambers1	No. of chambers2	No. of chambers3	No. of chambers4	No. of chambers5	No. of chambers6	No. of chambers7	Damage grade	"Further remarks, notes on the sample"	
"1, Plastic box"	"Labelled as ""Used for CT scans"""													
"1, Plastic box"	28-08-2024	N|7	1	8								2	"Collected from Jalahalli Nest, Ziplock cover sample"	
"1, Plastic box"	16/X1/24	R2	1	4								0	"Collected from Ma'ams house, mango tree nest, ziplock cover sample, Previously unlabelled"	
"1, Plastic box"	08-11-2024	R5	1	Cannot assess								0	"Collected from Cycle nest in IISc, Cling wrapped sample, red cap box, Previously unlabelled"	
"1, Plastic box"	23-06-2023	N-7	1	10								2	"CT Scan sample 2, Cement block, Blue cap box"	
"1, Plastic box"	13-03-2023	N-9	1	1								0	"CT Scan sample 5, collected from RE Bike, blue cap box"	
"1, Plastic box"	27-01-2023	"No sample in blue cap box, collected from Aero engg., wt. 1693.5mg"												
"1, Plastic box"	03-11-2023	P-6	1	2								2	"CT Scan sample 4, collected from CSA building, blue cap box"	
"1, Plastic box"	"Plastic BOX, NO labels"	R4	1	8								1	"NO labels on plastic pippette box, single Phimenes wasp observed from chamber on the sample, Previously unlabelled"	
"1, Plastic box"	01-02-2023	R1	2	3				1				0	"CT Scan sample 3, Nest got wet (21/5/24), Ziplock cover sample, Previously unlabelled"	
"1, Plastic box"	19-12-2023	R3	1	8								0	"IISc maain gate side, Coconut palm, Phimenes, ziplock cover sample, Previously unlabelled"	
"1, Plastic box"	13-03-2023	N1	1	2								1	"CT Scan sample 6, Organic chem, Wooden Box, ziplock cover sample"	
"1, Plastic box"	16-02-2023	N2	1	13								1	"CT Scan sample 1, Organic chem AC, Coord: 13.01645, 77.56803, ziplock cover sample"	
"2, plastic box"	Labelled 'NOT SURE'													
"2, plastic box"	14-12-2023	R6	Multiple	-								4	"Collected from GKVK, two dead wasps and one larvae observed, nest opened on 20/12/23, Ziplock cover sample, Previously unlabelled"	
"2, plastic box"	-	R7	4	1	3	2	3					3	"No labels on ziplock cover, multiple insects found on sample, Previously unlabelled"	
"2, plastic box"	05-07-2023	N-1	1	6								2	"collected Jawahar guest house gymkhana side, ziplock cover sample"	
"2, plastic box"	18-12-2023	"gate N-1, 54"	1	8								1	"Collected GKVK, got wet in rain on 21/5/24, ziplock cover sample"	"EXPOSED, good sample, returned to place, will use other sample"
"2, plastic box"	27-03-2023	N1	Multiple	-								4	"Garden office, ziplock sample"	
"2, plastic box"	06-02-2024	R8	Multiple									4	"SJU campus, coord- 12.96, 77.60, ziplock cover, Previously unlabelled"	
"2, plastic box"	16-02-2023	R9	Multiple									4	"Disintegrated upon bringing to lab, brought from organic chem building, tubes indicated of family: Sphecidae, Previously unlabelled"	
